,1,24,43,100,111,119,122,23,44,20,91,106,8,27,95,98,46,59,125,2,41,103,40,48,56,107,39,64,68,144
2001,1,24,43,100,111,119,122,23,44,21,0,106,8,148,95,98,0,0,0,2,0,103,152,0,0,107,0,64,0,0
2002,1,24,43,100,111,119,122,23,44,20,91,106,8,148,0,98,117,59,0,2,41,0,40,0,0,107,0,0,0,0
2003,1,24,43,100,111,119,122,23,44,20,0,106,8,148,0,98,46,59,125,2,41,0,40,105,0,107,0,0,68,0
2004,1,24,43,100,111,119,122,23,44,20,91,106,8,27,95,98,46,59,125,72,0,0,40,0,54,0,0,64,0,0
2005,1,24,43,100,111,119,122,23,44,20,91,0,8,27,95,98,117,59,0,72,41,0,40,48,0,0,0,0,0,0
2006,1,24,43,100,111,119,122,23,44,20,91,106,8,27,95,98,46,0,0,2,41,103,0,48,0,0,39,0,0,0
2007,1,24,43,100,111,119,122,120,44,20,91,106,8,27,95,80,46,123,125,72,70,103,0,105,0,0,0,6,0,6
2008,1,24,43,100,111,119,122,23,44,20,91,106,83,27,0,134,46,0,125,2,11,103,0,48,56,0,0,0,0,0
2009,1,24,43,100,111,119,122,23,44,20,91,12,0,27,95,98,46,59,125,72,41,0,0,48,56,12,0,0,0,144
2010,1,24,43,100,111,119,122,23,143,21,91,106,0,27,95,57,117,59,125,72,0,103,0,0,56,0,39,0,68,144
